player_id,name,nationality,is_indian,is_overseas,is_batsman,is_bowler,is_allrounder,is_wicketkeeper,is_opener,is_finisher,is_anchor,is_aggressive_batter,bats_left,bats_right,bowls_fast,bowls_spin,bowls_medium,is_death_bowler,is_powerplay_bowler,is_economy_bowler,played_csk,played_mi,played_rcb,played_kkr,played_dc,played_srh,played_rr,played_pbks,played_gt,played_lsg,is_captain,won_ipl_title,has_orange_cap,has_purple_cap,is_international_star,is_early_era,is_mid_era,is_recent_era,is_match_winner,is_famous_for_sixes,is_death_specialist,is_consistent_performer
virat-kohli,Virat Kohli,India,1,0,1,0,0,0,1,0,0.3,0.5,0,1,0.1,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0.5,0.2,1
ms-dhoni,MS Dhoni,India,1,0,0.8,0,0.2,1,0,1,0.5,0.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0.3,1,1,1,1
rohit-sharma,Rohit Sharma,India,1,0,1,0,0,0,1,0.2,0.5,0.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0.2,1
tapan-sharma,Tapan Sharma,India,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0.3
jasprit-bumrah,Jasprit Bumrah,India,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1
rashid-khan,Rashid Khan,Afghanistan,0,1,0.3,1,0.3,0,0,0.3,0,0.3,0,1,0,1,0,1,0.8,0.8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0.3,0.8,1
andre-russell,Andre Russell,West Indies,0,1,0.5,0.8,1,0,0,1,0,1,0,1,1,0,0.3,1,0,0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0.8,1
kruger-van-wyk,Kruger van Wyk,New Zealand,0,1,0.7,0,0,1,0,0.5,0.3,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
michael-vaughan,Michael Vaughan,England,0,1,0.8,0,0,0,0.5,0,0.5,0.2,0,1,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
david-warner,David Warner,Australia,0,1,1,0,0,0,1,0,0.2,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0.8,0.2,1
kl-rahul,KL Rahul,India,1,0,1,0,0,1,1,0.3,0.5,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0.5,0.3,1
rishabh-pant,Rishabh Pant,India,1,0,0.8,0,0,1,0,0.7,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.5,0.8
ruturaj-gaikwad,Ruturaj Gaikwad,India,1,0,1,0,0,0,1,0,0.5,0.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0.5,0.2,1
ravindra-jadeja,Ravindra Jadeja,India,1,0,0.5,0.8,1,0,0,0.6,0,0.5,1,0,0,1,0,0.5,0.3,0.8,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5,1,0,1,1,1,0.5,0.5,1
yuzvendra-chahal,Yuzvendra Chahal,India,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0.5,1
mohammed-shami,Mohammed Shami,India,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0.8,1
bhuvneshwar-kumar,Bhuvneshwar Kumar,India,1,0,0.2,1,0,0,0,0,0,0,0,1,0,0,1,1,0.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,1,1,1,0,0.7,1
kane-williamson,Kane Williamson,New Zealand,0,1,1,0,0,0,0,0.3,0.8,0.4,0,1,0,0.2,0,0,0,0.3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0.5,0.7,0.2,0.2,1
joe-root,Joe Root,England,0,1,0.9,0.3,0.3,0,0.5,0.2,0.7,0.3,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.5
sandeep-sharma,Sandeep Sharma,India,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.5,0.8,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5
faf-du-plessis,Faf du Plessis,South Africa,0,1,1,0,0,0,1,0.3,0.5,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0.7,0.2,1
suryakumar-yadav,Suryakumar Yadav,India,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,1,1,1,0.8,1
pat-cummins,Pat Cummins,Australia,0,1,0.4,1,0.4,0,0,0.5,0,0.3,0,1,1,0,0,1,0.5,0.5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0.5,0.8,1
prithvi-shaw,Prithvi Shaw,India,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.8,0.2,0.5
adam-zampa,Adam Zampa,Australia,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,0,0,0.5,0,0,0.3,0.5
ishan-kishan,Ishan Kishan,India,1,0,0.8,0,0,1,1,0.7,0,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,1,1,1,0.5,0.7
praveen-dubey,Praveen Dubey,India,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.3,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3,0.3
varun-chakravarthy,Varun Chakaravarthy,India,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0.3,0,0,0.5,1,1,0,0.5,0.8
kuldeep-yadav,Kuldeep Yadav,India,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.5,0.8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0.5,1
